celebrity,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,placement,week_1_min_fan_percentage,week_1_max_fan_percentage,week_1_delta,week_1_point_estimate,week_2_min_fan_percentage,week_2_max_fan_percentage,week_2_delta,week_2_point_estimate,week_3_min_fan_percentage,week_3_max_fan_percentage,week_3_delta,week_3_point_estimate,week_4_min_fan_percentage,week_4_max_fan_percentage,week_4_delta,week_4_point_estimate,week_5_min_fan_percentage,week_5_max_fan_percentage,week_5_delta,week_5_point_estimate,week_6_min_fan_percentage,week_6_max_fan_percentage,week_6_delta,week_6_point_estimate,week_7_min_fan_percentage,week_7_max_fan_percentage,week_7_delta,week_7_point_estimate,week_8_min_fan_percentage,week_8_max_fan_percentage,week_8_delta,week_8_point_estimate,week_9_min_fan_percentage,week_9_max_fan_percentage,week_9_delta,week_9_point_estimate,week_10_min_fan_percentage,week_10_max_fan_percentage,week_10_delta,week_10_point_estimate,week_11_min_fan_percentage,week_11_max_fan_percentage,week_11_delta,week_11_point_estimate
Mirai Nagasu,Alan Bersten,Athlete,California,United States,25,26,4,0,0.33650127,0.33650127,0.100010389,0,1,1,0.125001551,0,0.347541343,0.347541343,0.166683367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonya Harding,Sasha Farber,Athlete,Oregon,United States,47,26,3,0,0.33650127,0.33650127,0.100010389,0,0.259333294,0.259333294,0.124997546,0,0.347541343,0.347541343,0.166683367,0,0.339171287,0.339171287,0.333381883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Norman,Sharna Burgess,Athlete,South Carolina,United States,30,26,2,0,1,1,0.10002222,0,0.177553427,0.177553427,0.124998728,0,0.507104005,0.507104005,0.166660667,0,0.502918977,0.502918977,0.333329796,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Rippon,Jenna Johnson,Athlete,Pennsylvania,United States,28,26,1,0,1,1,0.100022221,0,1,1,0.125002107,0.139040537,1,0.860959463,0.166648189,0.32749538,1,0.67250462,0.333288321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Pablo Di Pace,Cheryl Burke,Actor/Actress,,Argentina,39,27,5,0,0.335941046,0.335941046,0.07694711,0,1,1,0.083343045,0.071146166,1,0.928853834,0.090903618,0,0.20860469,0.20860469,0.099977865,0,1,1,0.111275114,0,1,1,0.111080771,0,0.337154751,0.337154751,0.12500118,0.147016263,1,0.852983737,0.166845718,,,,,,,,,,,,
Evanna Lynch,Keo Motsepe,Actor/Actress,,Ireland,27,27,3,0,0.122198889,0.122198889,0.076900084,0,0.204791915,0.204791915,0.083324142,0,0.505530055,0.505530055,0.090891918,0,0.20860469,0.20860469,0.099977865,0,0.178655345,0.178655345,0.110915852,0,0.336237875,0.336237875,0.111037305,0.114400316,1,0.885599684,0.125001071,0,0.50310059,0.50310059,0.166720856,0,1,1,0.24999964,,,,,,,,
Nancy McKeon,Valentin Chmerkovskiy,Actor/Actress,New York,United States,52,27,11,0,0.131601397,0.131601397,0.076933972,0,0.123602684,0.123602684,0.083326184,0,0.125022362,0.125022362,0.090942599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Schneider,Emma Slater,Actor/Actress,New York,United States,58,27,8,0,0.122198889,0.122198889,0.076900087,0,0.135366162,0.135366162,0.083289346,0,0.115832159,0.115832159,0.09095342,0,0.14059875,0.14059875,0.100004854,0,0.178655345,0.178655345,0.110915852,0,0.139221679,0.139221679,0.111242937,0,0.205497241,0.205497241,0.124998987,,,,,,,,,,,,,,,,
Milo Manheim,Witney Carson,Actor/Actress,California,United States,17,27,2,0,0.207831137,0.207831137,0.076914904,0,1,1,0.083343045,0,0.505530055,0.505530055,0.090891918,0.075032,1,0.924968,0.100020316,0,0.339332673,0.339332673,0.111258554,0,1,1,0.111080747,0,0.501144425,0.501144425,0.12500427,0,0.258530373,0.258530373,0.166534619,0,1,1,0.24999964,,,,,,,,
Danelle Umstead,Artem Chigvintsev,Athlete,New Mexico,United States,46,27,12,0,0.122198889,0.122198889,0.076900084,0,0.107497678,0.107497678,0.083364661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Lou Retton,Sasha Farber,Athlete,West Virginia,United States,50,27,9,0,0.207831137,0.207831137,0.076914904,0,0.149168899,0.149168899,0.083289821,0,0.152857243,0.152857243,0.090887329,0,0.506460517,0.506460517,0.099982157,0,0.20989191,0.20989191,0.111107201,0,0.182654978,0.182654978,0.11110817,,,,,,,,,,,,,,,,,,,,
DeMarcus Ware,Lindsay Arnold,Athlete,Alabama,United States,36,27,7,0,1,1,0.076928875,0,0.172191953,0.172191953,0.083305805,0,0.205156052,0.205156052,0.090903203,0,0.156383941,0.156383941,0.100042625,0,0.257870383,0.257870383,0.111154895,0,0.210462349,0.210462349,0.11113435,0,0.173155077,0.173155077,0.124997182,,,,,,,,,,,,,,,,
Nikki Glaser,Gleb Savchenko,Comedian,Ohio,United States,34,27,13,0,0.093437386,0.093437386,0.076938478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Bones,Sharna Burgess,Radio Personality,Arkansas,United States,38,27,1,0,0.207831137,0.207831137,0.076914904,0,0.114560588,0.114560588,0.083345715,0,0.13697012,0.13697012,0.090897921,0,0.128799195,0.128799195,0.09997432,0,0.145807083,0.145807083,0.111048834,0,0.164038802,0.164038802,0.111125893,0,0.173155077,0.173155077,0.124997182,0,0.193560114,0.193560114,0.166604901,0,0.266221266,0.266221266,0.250001994,,,,,,,,
Tinashe,Brandon Armstrong,Singer/Rapper,Kentucky,United States,25,27,10,0,1,1,0.076928872,0,1,1,0.083343045,0,0.505530055,0.505530055,0.090891916,0,0.506460517,0.506460517,0.099982167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,27,4,0,0.335941046,0.335941046,0.07694711,0,0.254151465,0.254151465,0.083341755,0,0.205156052,0.205156052,0.090903206,0,0.256455517,0.256455517,0.100033556,0,1,1,0.111275114,0,0.258721124,0.258721124,0.111063932,0,0.254582701,0.254582701,0.12500031,0,0.50310059,0.50310059,0.166720855,0,0.341984675,0.341984675,0.249998725,,,,,,,,
Joe Amabile,Jenna Johnson,TV Personality,Illinois,United States,32,27,6,0,0.098910347,0.098910347,0.076930615,0,0.101919157,0.101919157,0.083383436,0,0.115356609,0.115356609,0.090932953,0,0.135306828,0.135306828,0.100004275,0,0.145613423,0.145613423,0.111048585,0,0.164038802,0.164038802,0.111125894,0,0.141926523,0.141926523,0.124999817,0,0.229176547,0.229176547,0.166573052,,,,,,,,,,,,
